"","MoransI_observed","MoransI_p.value","moransi.spatially.variable","moransi.spatially.variable.rank"
"COX4I2",0.0551623979310607,0,TRUE,508
"FAAP100",0.0550835266946373,0,TRUE,509
"MFGE8",0.0549722301590898,0,TRUE,510
"SYNPO2",0.0548568322527993,0,TRUE,511
"MYH10",0.054652478006131,0,TRUE,512
"CD68",0.054611766025441,0,TRUE,513
"PLPP1",0.0545233595768908,0,TRUE,514
"CXCL9",0.0544522274249131,0,TRUE,515
"DIPK2B",0.0543623777459722,0,TRUE,516
"GUCY1A2",0.0543328004836942,0,TRUE,517
"EMCN",0.0538753746440428,0,TRUE,518
"PTPRC",0.0537942370308709,0,TRUE,519
"SLC25A24",0.0532506883915713,0,TRUE,520
"INAFM1",0.0531603616001116,0,TRUE,521
"SLCO2A1",0.0530867935652302,0,TRUE,522
"WIPF1",0.0530658026628562,0,TRUE,523
"H19",0.0530412864468417,0,TRUE,524
"JAG1",0.0528931595048705,0,TRUE,525
"TNXB",0.0528717484542706,0,TRUE,526
"ROBO4",0.0526793163941636,0,TRUE,527
"ADGRL4",0.0523914367375624,0,TRUE,528
"ALOX5AP",0.0523813872502885,0,TRUE,529
"EPB41L2",0.0523430952724536,0,TRUE,530
"FZD4",0.0523173483976191,0,TRUE,531
"CCDC144A",0.0522383633104278,0,TRUE,532
"XAF1",0.0522343703094919,0,TRUE,533
"VIPR1",0.0522098976482825,0,TRUE,534
"KCNQ1OT1",0.0521915011075514,0,TRUE,535
"GJA1",0.0520995089790051,0,TRUE,536
"JAML",0.0519688109546155,0,TRUE,537
"LOXL2",0.0518729949717074,0,TRUE,538
"PLEKHO2",0.051779674736643,0,TRUE,539
"LDB2",0.0516660087492726,0,TRUE,540
"TGFB1I1",0.051310128277323,0,TRUE,541
"COL6A6",0.0512372391719886,0,TRUE,542
"ANP32B",0.0511465561784093,0,TRUE,543
"ZC3H13",0.0509950544694345,0,TRUE,544
"ATRX",0.0506810950135754,0,TRUE,545
"TRBC1",0.0504660646885829,0,TRUE,546
"PCDH17",0.0503004284021811,0,TRUE,547
"PPP1R9B",0.0501226527110141,0,TRUE,548
"EDIL3",0.0500905468795,0,TRUE,549
"PRX",0.0500429144301012,0,TRUE,550
"APOC1",0.0500309993940345,0,TRUE,551
"EGFL6",0.049939984132105,0,TRUE,552
"SEC14L1",0.0499057441845752,0,TRUE,553
"LAMC3",0.049767657278232,0,TRUE,554
"GUCY1A1",0.0497634450307868,0,TRUE,555
"MYC",0.0497137820047041,0,TRUE,556
"ADAMTS1",0.0495306732716634,0,TRUE,557
"PODXL",0.0494972547095373,0,TRUE,558
"GMFG",0.049496691097661,0,TRUE,559
"GPC3",0.0494588354233953,0,TRUE,560
"WIF1",0.0493319252538527,0,TRUE,561
"PTN",0.0492709334883325,0,TRUE,562
"S1PR1",0.0492128033937122,0,TRUE,563
"SEPTIN7",0.0490838340609971,0,TRUE,564
"PPP1R15A",0.0490696290093621,0,TRUE,565
"TBX4",0.0490465074376451,0,TRUE,566
"F13A1",0.048955278468774,0,TRUE,567
